x,y,width,height,IoU
1402,2197,153,85,0.82
2175,2647,94,188,0.61
2368,2755,102,210,0.73
2171,2374,68,176,0.51
2171,2020,102,210,0.83
1727,2667,239,102,0.61
2154,1547,85,165,0.62
3338,1741,76,199,0.65
2154,1764,85,188,0.66
2154,1276,85,205,0.79
2197,2926,85,165,0.63
2094,729,85,205,0.52
2124,991,94,216,0.59
2171,3206,136,267,0.71
205,709,171,108,0.75
1402,2197,153,85,0.82
2175,2647,94,188,0.61
2368,2755,102,210,0.73
2171,2374,68,176,0.51
2171,2020,102,210,0.83
1727,2667,239,102,0.61
2154,1547,85,165,0.62
3338,1741,76,199,0.65
2154,1764,85,188,0.66
2154,1276,85,205,0.79
2197,2926,85,165,0.63
2094,729,85,205,0.52
2124,991,94,216,0.59
2171,3206,136,267,0.71
205,709,171,108,0.75
1402,2197,153,85,0.82
2175,2647,94,188,0.61
2368,2755,102,210,0.73
2171,2374,68,176,0.51
2171,2020,102,210,0.83
1727,2667,239,102,0.61
2154,1547,85,165,0.62
3338,1741,76,199,0.65
2154,1764,85,188,0.66
2154,1276,85,205,0.79
2197,2926,85,165,0.63
2094,729,85,205,0.52
2124,991,94,216,0.59
2171,3206,136,267,0.71
205,709,171,108,0.75
1402,2197,153,85,0.82
2175,2647,94,188,0.61
2368,2755,102,210,0.73
2171,2374,68,176,0.51
2171,2020,102,210,0.83
1727,2667,239,102,0.61
2154,1547,85,165,0.62
3338,1741,76,199,0.65
2154,1764,85,188,0.66
2154,1276,85,205,0.79
2197,2926,85,165,0.63
2094,729,85,205,0.52
2124,991,94,216,0.59
2171,3206,136,267,0.71
205,709,171,108,0.75
1402,2197,153,85,0.82
2175,2647,94,188,0.61
2368,2755,102,210,0.73
2171,2374,68,176,0.51
2171,2020,102,210,0.83
1727,2667,239,102,0.61
2154,1547,85,165,0.62
3338,1741,76,199,0.65
2154,1764,85,188,0.66
2154,1276,85,205,0.79
2197,2926,85,165,0.63
2094,729,85,205,0.52
2124,991,94,216,0.59
2171,3206,136,267,0.71
205,709,171,108,0.75
1402,2197,153,85,0.82
2175,2647,94,188,0.61
2368,2755,102,210,0.73
2171,2374,68,176,0.51
2171,2020,102,210,0.83
1727,2667,239,102,0.61
2154,1547,85,165,0.62
3338,1741,76,199,0.65
2154,1764,85,188,0.66
2154,1276,85,205,0.79
2197,2926,85,165,0.63
2094,729,85,205,0.52
2124,991,94,216,0.59
2171,3206,136,267,0.71
205,709,171,108,0.75
1402,2197,153,85,0.82
2175,2647,94,188,0.61
2368,2755,102,210,0.73
2171,2374,68,176,0.51
2171,2020,102,210,0.83
1727,2667,239,102,0.61
2154,1547,85,165,0.62
3338,1741,76,199,0.65
2154,1764,85,188,0.66
2154,1276,85,205,0.79
2197,2926,85,165,0.63
2094,729,85,205,0.52
2124,991,94,216,0.59
2171,3206,136,267,0.71
205,709,171,108,0.75
1402,2197,153,85,0.82
2175,2647,94,188,0.61
2368,2755,102,210,0.73
2171,2374,68,176,0.51
2171,2020,102,210,0.83
1727,2667,239,102,0.61
2154,1547,85,165,0.62
3338,1741,76,199,0.65
2154,1764,85,188,0.66
2154,1276,85,205,0.79
2197,2926,85,165,0.63
2094,729,85,205,0.52
2124,991,94,216,0.59
2171,3206,136,267,0.71
205,709,171,108,0.75
1402,2197,153,85,0.82
2175,2647,94,188,0.61
2368,2755,102,210,0.73
2171,2374,68,176,0.51
2171,2020,102,210,0.83
1727,2667,239,102,0.61
2154,1547,85,165,0.62
3338,1741,76,199,0.65
2154,1764,85,188,0.66
2154,1276,85,205,0.79
2197,2926,85,165,0.63
2094,729,85,205,0.52
2124,991,94,216,0.59
2171,3206,136,267,0.71
205,709,171,108,0.75
1402,2197,153,85,0.82
2175,2647,94,188,0.61
2368,2755,102,210,0.73
2171,2374,68,176,0.51
